date,mom,qoq,yoy,ytd,accumulative
2025/6/30,0.0029,0.0059,0.0268,0.0123,0.2432
2025/5/30,0.0008,,0.0239,,0.2396
2025/4/30,0.0022,,0.0234,,0.2386
2025/3/30,-0.0005,0.0064,0.0242,0.0064,0.2359
2025/2/30,0.0022,,0.0282,,0.2365
2025/1/30,0.0047,,0.0301,,0.2338
2024/12/30,0.0036,0.0087,0.0288,,0.2280
2024/11/30,0.0028,,0.0272,,0.2236
2024/10/30,0.0023,,0.0258,,0.2202
2024/9/30,0.0023,0.0055,0.0244,,0.2174
2024/8/30,0.0018,,0.0261,,0.2146
2024/7/30,0.0014,,0.0294,,0.2124
2024/6/30,0.0000,0.0033,0.0297,,0.2107
2024/5/30,0.0004,,0.0324,,0.2107
2024/4/30,0.0029,,0.0335,,0.2103
2024/3/30,0.0035,0.0109,0.0346,,0.2068
2024/2/30,0.0040,,0.0316,,0.2026
2024/1/30,0.0034,,0.0310,,0.1978
2023/12/30,0.0021,0.0044,0.0332,,0.1937
2023/11/30,0.0014,,0.0313,,0.1912
2023/10/30,0.0009,,0.0324,,0.1895
2023/9/30,0.0040,0.0107,0.0369,,0.1885
2023/8/30,0.0050,,0.0372,,0.1837
2023/7/30,0.0017,,0.0329,,0.1778
2023/6/30,0.0026,0.0081,0.0307,,0.1758
2023/5/30,0.0015,,0.0414,,0.1728
2023/4/30,0.0040,,0.0496,,0.1710
2023/3/30,0.0006,0.0095,0.0495,,0.1664
2023/2/30,0.0034,,0.0597,,0.1657
2023/1/30,0.0055,,0.0635,,0.1617
2022/12/30,0.0003,0.0080,0.0642,,0.1554
2022/11/30,0.0024,,0.0715,,0.1550
2022/10/30,0.0053,,0.0778,,0.1523
2022/9/30,0.0043,0.0047,0.0822,,0.1462
2022/8/30,0.0008,,0.0823,,0.1413
2022/7/30,-0.0004,,0.0845,,0.1404
2022/6/30,0.0130,0.0265,0.0900,,0.1408
2022/5/30,0.0094,,0.0852,,0.1262
2022/4/30,0.0039,,0.0823,,0.1157
2022/3/30,0.0103,0.0237,0.0853,,0.1114
2022/2/30,0.0070,,0.0794,,0.1000
2022/1/30,0.0062,,0.0758,,0.0924
2021/12/30,0.0071,0.0250,0.0716,,0.0857
2021/11/30,0.0083,,0.0686,,0.0780
2021/10/30,0.0094,,0.0623,,0.0691
2021/9/30,0.0044,0.0119,0.0537,,0.0592
2021/8/30,0.0029,,0.0518,,0.0545
2021/7/30,0.0046,,0.0526,,0.0515
2021/6/30,0.0086,0.0222,0.0531,,0.0467
2021/5/30,0.0067,,0.0492,,0.0377
2021/4/30,0.0067,,0.0412,,0.0308
2021/3/30,0.0048,0.0107,0.0261,,0.0240
2021/2/30,0.0036,,0.0166,,0.0191
2021/1/30,0.0023,,0.0135,,0.0154
2020/12/30,0.0043,0.0078,0.0131,,0.0131
2020/11/30,0.0023,,,,
2020/10/30,0.0012,,,,
2020/9/30,0.0026,0.0114,,,
2020/8/30,0.0037,,,,
2020/7/30,0.0051,,,,
2020/6/30,0.0048,-0.0040,,,
2020/5/30,-0.0009,,,,
2020/4/30,-0.0079,,,,
2020/3/30,-0.0045,-0.0021,,,
2020/2/30,0.0005,,,,
2020/1/30,0.0019,,,,