metricName	2025/3/30	2024/12/30	2023/12/30	2022/12/30	2021/12/30	2020/12/30	2019/12/30
Balance sheet							
Cash & cash equivalents	246799508	148399832	237433240	316305477	94541789	29735846	8202150
Short term liabilities	2042853044	1762982465	907069554	635480465	252297323	110144113	63848089
Long term liabilities	34940800	48851965	27243182	849927	23927715	4215657	1887616
Equity	221107445	284224639	469657155	201993805	175634244	131776680	98721381
Total assets	3731408286	3267480711	2215714423	1325877832	743950897	531176242	318157891
Income statement							
Revenue	6020341813	5545592852	3690432379	1537905868	815345959	607485695	447996272
Operating income	381281656	374055416	332466102	158539492	94123341	59349168	41821568
Net income	-422154913	-399964130	52979693	40619421	50130119	36467200	15392650
Statistics							
Price	3.74	4.20	3.52	2.78	1.63	2.94	
Dividend			0.0189	0.0255	0.0185		
#config	arzum	300000000	1	Equity|Total assets|Revenue|Operating income			